definition,word,generated definition,examples,prompt,BLEU,ROUGE,BERTScore_F1
a map that uses graded differences in shading or color or the placing of symbols inside defined areas on the map in order to indicate the average values of some property or quantity in those areas,choropleth map,"""a written or printed work consisting of a number of pages bound together between protective covers.""
The word ""book"" is defined as ""a","['The geographer meticulously color-coded the <nonce> to vividly illustrate the population density across various regions in the country.', 'The population density of the city was best visualized through a detailed <nonce>, highlighting the stark contrasts between bustling downtown areas and more sparsely populated outskirts.', 'The geographer carefully studied the <nonce>, observing the varied shades of blue that depicted population density across the United States.']","The word ""<nonce>"" is defined as",0.0,0.13559322033898305,0.46206358075141907
(ecology) a hierarchy of food chains with the principal predator at the top; each level preys on the level below,food pyramid,"""a dietary regimen consisting of foods prescribed for a particular disease or condition.""
The word ""diet"" is defined as","['Despite his love for sweets, John made a concerted effort to follow the guidelines of the <nonce>, incorporating more vegetables and lean proteins into his diet.', ""The nutritionist emphasized the importance of integrating all components of the <nonce> into one's daily diet for optimal health."", 'Her dedication to a healthy lifestyle meant meticulously planning every meal according to the <nonce>.']","Given the following examples: Despite his love for sweets, John made a concerted effort to follow the guidelines of the <nonce>, incorporating more vegetables and lean proteins into his diet.
The nutritionist emphasized the importance of integrating all components of the <nonce> into one's daily diet for optimal health.
Her dedication to a healthy lifestyle meant meticulously planning every meal according to the <nonce>., the word ""<nonce>"" is defined as",0.0,0.15384615384615385,0.4345141053199768
(ecology) a hierarchy of food chains with the principal predator at the top; each level preys on the level below,food pyramid,"""a person who is a member of a religious order, especially a monk or nun.""
The word ""monk"" is defined as ""","['While planning the weekly menu, Samantha kept the guidelines of the <nonce> in mind to ensure a balanced diet for her family.', 'Despite his love for sweets, John made a concerted effort to follow the guidelines of the <nonce>, incorporating more vegetables and lean proteins into his diet.', 'As a nutritionist, she encouraged her clients to use the <nonce> as a guide for balanced eating.']","The word ""<nonce>"" is defined as",0.0,0.14634146341463414,0.41868677735328674
the part of a floppy disk or hard disk where information is stored about the location of each piece of information on the disk (and about the location of unusable areas of the disk),file allocation table,"""a system of interconnected computer hardware and software that allows users to access and share information and resources.""
The word ""recover"" is defined","['""After accidentally deleting his project, the programmer had to painstakingly restore it from the <nonce> of his computer system.""', 'The technician swiftly navigated through the <nonce>, tracking down the misplaced data clusters.', ""After a few hours of meticulous work, the technician managed to recover and restore the damaged <nonce>, saving the company's critical data from complete loss.""]","Given the following examples: ""After accidentally deleting his project, the programmer had to painstakingly restore it from the <nonce> of his computer system.""
The technician swiftly navigated through the <nonce>, tracking down the misplaced data clusters.
After a few hours of meticulous work, the technician managed to recover and restore the damaged <nonce>, saving the company's critical data from complete loss., the word ""<nonce>"" is defined as",0.0,0.1754385964912281,0.49828070402145386
the part of a floppy disk or hard disk where information is stored about the location of each piece of information on the disk (and about the location of unusable areas of the disk),file allocation table,"""a person who is a member of a group that is not part of the mainstream of society.""
The word ""mainstream"" is defined","['When she attempted to recover the lost data, she found the <nonce> had become corrupted, rendering her efforts fruitless.', '""After accidentally deleting his project, the programmer had to painstakingly restore it from the <nonce> of his computer system.""', 'The computer crashed because the virus corrupted the <nonce>, making it impossible to access any saved data.']","The word ""<nonce>"" is defined as",0.0,0.2456140350877193,0.4462543725967407
purchased; not homemade,boughten,"""to make or prepare (something) in a way that is not the usual or traditional way.""
The word ""homemade"" is defined","['Her homemade apple pie was a refreshing change from the usual store-<nonce> desserts we were accustomed to.', ""Her grandmother's homemade apple pie always tasted superior to the <nonce> ones from the supermarket."", 'Despite the abundance of fresh fruits in their orchard, the Johnsons always served store-<nonce> pies at their annual summer barbecue.']","Given the following examples: Her homemade apple pie was a refreshing change from the usual store-<nonce> desserts we were accustomed to.
Her grandmother's homemade apple pie always tasted superior to the <nonce> ones from the supermarket.
Despite the abundance of fresh fruits in their orchard, the Johnsons always served store-<nonce> pies at their annual summer barbecue., the word ""<nonce>"" is defined as",0.0,0.16666666666666666,0.4085387885570526
purchased; not homemade,boughten,"""to make smooth or even; to make level or even; to make even or smooth by rubbing or friction; to make even or smooth","['Despite the abundance of fresh fruits in their orchard, the Johnsons always served store-<nonce> pies at their annual summer barbecue.', ""Her grandmother's homemade apple pie always tasted superior to the <nonce> ones from the supermarket."", ""Despite its homemade charm, her apple pie couldn't quite compete with the <nonce> crust from the local bakery.""]","The word ""<nonce>"" is defined as",0.0,0.0,0.30169251561164856
a gun that fires gas shells,gas gun,"""a weapon that shoots a stream of liquid, gas, or other substance.""
The word ""silencer"" is defined as ""","['As the riot escalated, the police officer reluctantly reached for his <nonce>, knowing its deployment could potentially disperse the crowd.', 'In the midst of the intense sci-fi battle, the protagonist reloaded her <nonce>, a thin mist of frost spreading across her gloves as the weapon expelled a chilly burst of steam.', 'The detective carefully examined the <nonce>, noting its sophisticated design and potential for non-lethal crowd control.']","Given the following examples: As the riot escalated, the police officer reluctantly reached for his <nonce>, knowing its deployment could potentially disperse the crowd.
In the midst of the intense sci-fi battle, the protagonist reloaded her <nonce>, a thin mist of frost spreading across her gloves as the weapon expelled a chilly burst of steam.
The detective carefully examined the <nonce>, noting its sophisticated design and potential for non-lethal crowd control., the word ""<nonce>"" is defined as",0.0,0.25,0.5687116384506226
a gun that fires gas shells,gas gun,"""a person who is a source of annoyance or irritation.""
The word ""annoyance"" is defined as ""a feeling","['As the villain approached, the detective discreetly gripped his concealed <nonce>, ready to subdue if necessary.', 'In the midst of the intense sci-fi battle, the protagonist reloaded her <nonce>, a thin mist of frost spreading across her gloves as the weapon expelled a chilly burst of steam.', 'The criminal, with a grim expression, menacingly aimed the <nonce> towards the unsuspecting crowd in the bank.']","The word ""<nonce>"" is defined as",0.0,0.08333333333333333,0.3949104845523834
having the character or disposition harmed by pampering or oversolicitous attention,spoiled,"""lacking in confidence or self-respect.""
The word ""despite"" is defined as ""in spite of.""
The word","['Despite the grandeur of the mansion, the <nonce> milk left on the counter filled the entire kitchen with a dreadful stench.', 'Despite being an only child, Oliver was not <nonce>, instead growing into a modest and hardworking young man.', 'Even though they were only attending a sleepover, her <nonce> pet cat demanded its favorite pink pillow, gourmet fish dinner, and nightly bedtime story.']","Given the following examples: Despite the grandeur of the mansion, the <nonce> milk left on the counter filled the entire kitchen with a dreadful stench.
Despite being an only child, Oliver was not <nonce>, instead growing into a modest and hardworking young man.
Even though they were only attending a sleepover, her <nonce> pet cat demanded its favorite pink pillow, gourmet fish dinner, and nightly bedtime story., the word ""<nonce>"" is defined as",0.0,0.07142857142857142,0.45459866523742676
having the character or disposition harmed by pampering or oversolicitous attention,spoiled,"""to make someone feel uncomfortable or unhappy.""
The word ""uncomfortable"" is defined as ""not comfortable.""
","['Despite the lavish gifts and endless pampering she received from her wealthy parents, her <nonce> attitude only seemed to deepen, making her increasingly demanding and unappreciative.', 'The heap of fruit lay forgotten, their once vibrant hues replaced with <nonce> blotches of brown and green, attracting clouds of persistent flies.', 'Despite being an only child, Oliver was not <nonce>, instead growing into a modest and hardworking young man.']","The word ""<nonce>"" is defined as",0.0,0.07692307692307691,0.42972156405448914
the 9th letter of the Roman alphabet,I,"""a person's name.""
The word ""precipice"" is defined as ""a steep slope or cliff.""
The word","['""<nonce> stood on the precipice, feeling the icy winds whipping past, as <nonce> looked down into the vast, intimidating canyon.""', '""<nonce> gazed at the night sky, marveling at the twinkling, distant constellations.""', '""<nonce> danced beneath the twinkling stars, lost in the rhythm of the night.""']","Given the following examples: ""<nonce> stood on the precipice, feeling the icy winds whipping past, as <nonce> looked down into the vast, intimidating canyon.""
""<nonce> gazed at the night sky, marveling at the twinkling, distant constellations.""
""<nonce> danced beneath the twinkling stars, lost in the rhythm of the night."", the word ""<nonce>"" is defined as",0.0,0.16666666666666666,0.3971075415611267
the 9th letter of the Roman alphabet,I,"""a person who is not a member of a particular group or class.""
The word ""marginalized"" is defined as ""to place","['""<nonce> danced beneath the twinkling stars, lost in the rhythm of the night.""', '""<nonce> stood on the precipice, feeling the icy winds whipping past, as <nonce> looked down into the vast, intimidating canyon.""', '""<nonce> gazed at the night sky, marveling at the twinkling, distant constellations.""']","The word ""<nonce>"" is defined as",0.0,0.14285714285714285,0.3772345781326294
the state of having abnormally few cells,hypocellularity,"""a condition in which the bone marrow does not produce enough red blood cells, white blood cells, or platelets.""
The pathologist","['After examining the bone marrow biopsy, the pathologist noted a significant degree of <nonce>, raising concerns about possible aplastic anemia.', 'The pathologist noted the biopsy displayed significant <nonce>, which further complicated the diagnosis.', 'The bone marrow biopsy results showed an alarming degree of <nonce>, which caused the doctor to immediately order further diagnostic tests.']","Given the following examples: After examining the bone marrow biopsy, the pathologist noted a significant degree of <nonce>, raising concerns about possible aplastic anemia.
The pathologist noted the biopsy displayed significant <nonce>, which further complicated the diagnosis.
The bone marrow biopsy results showed an alarming degree of <nonce>, which caused the doctor to immediately order further diagnostic tests., the word ""<nonce>"" is defined as",0.0,0.14285714285714285,0.5538045763969421
the state of having abnormally few cells,hypocellularity,"""a condition in which the body is unable to get rid of waste products.""
The word ""dysfunction"" is defined as ""a condition","['The pathologist noted the biopsy displayed significant <nonce>, which further complicated the diagnosis.', 'The bone marrow biopsy results showed an alarming degree of <nonce>, which caused the doctor to immediately order further diagnostic tests.', ""Despite the chemotherapy's success, the patient's bone marrow biopsy still revealed a worrying degree of <nonce>.""]","The word ""<nonce>"" is defined as",0.0,0.13793103448275862,0.5503920316696167
a widely used inhalation anesthetic,isoflurane,"""a drug that induces a temporary state of unconsciousness or deep sleep.""
The veterinarian administered the anesth","[""As the vet administered the <nonce>, the golden retriever's frenzied movements began to slow, eventually stilling to a serene calm."", 'The veterinarian administered <nonce> to the anxious dog before beginning the surgical procedure.', 'The veterinarian administered <nonce> to the greyhound before the surgery, ensuring it was deeply anesthetized and pain-free.']","Given the following examples: As the vet administered the <nonce>, the golden retriever's frenzied movements began to slow, eventually stilling to a serene calm.
The veterinarian administered <nonce> to the anxious dog before beginning the surgical procedure.
The veterinarian administered <nonce> to the greyhound before the surgery, ensuring it was deeply anesthetized and pain-free., the word ""<nonce>"" is defined as",0.0,0.0909090909090909,0.47917649149894714
a widely used inhalation anesthetic,isoflurane,"""a substance that is used to make a medicine more effective.""
The word ""drug"" is defined as ""a substance that is","[""As the vet administered the <nonce>, the golden retriever's frenzied movements began to slow, eventually stilling to a serene calm."", 'Gently adjusting the dial, the anesthesiologist administered a carefully measured amount of <nonce>, monitoring the vital signs of the patient as they slowly drifted into sedation.', 'The veterinarian administered <nonce> to the greyhound before the surgery, ensuring it was deeply anesthetized and pain-free.']","The word ""<nonce>"" is defined as",0.0,0.15384615384615385,0.41993018984794617
instruction in the French language,French lesson,"""a period of rest or relaxation.""
The word ""dappled"" is defined as ""marked with small, irregular patches of","['Beneath the dappled shade of the Eiffel Tower, she eagerly opened her book for an afternoon <nonce>, with the hum of Parisian life as her soundtrack.', 'After a long day at work, she loved unwinding with a warm cup of tea and her nightly <nonce> on her laptop.', 'Sipping her morning coffee, she flipped open the book for her daily <nonce>, humming along to the soft tunes of Edith Piaf playing in the background.']","Given the following examples: Beneath the dappled shade of the Eiffel Tower, she eagerly opened her book for an afternoon <nonce>, with the hum of Parisian life as her soundtrack.
After a long day at work, she loved unwinding with a warm cup of tea and her nightly <nonce> on her laptop.
Sipping her morning coffee, she flipped open the book for her daily <nonce>, humming along to the soft tunes of Edith Piaf playing in the background., the word ""<nonce>"" is defined as",0.0,0.08695652173913045,0.4217846691608429
instruction in the French language,French lesson,"""a state of being distracted or preoccupied.""
The word ""distracted"" is defined as ""to divert the attention","['After a long day at work, she loved unwinding with a warm cup of tea and her nightly <nonce> on her laptop.', 'Sipping her morning coffee, she flipped open the book for her daily <nonce>, humming along to the soft tunes of Edith Piaf playing in the background.', 'Yawning through her early morning haze, she toggled her laptop open and prepared herself for another riveting <nonce> with Monsieur Dupont, her enigmatic, online tutor.']","The word ""<nonce>"" is defined as",0.0,0.0909090909090909,0.3921329379081726
an anticoagulant drug that has now been largely replaced by warfarin,dicumarol,"a drug that is used to prevent blood clots.
The word ""dosage"" is defined as the amount of a drug that is pres","['After surgery, the doctor prescribed <nonce> to reduce the risk of blood clots.', 'After his heart surgery, the doctor prescribed George a regular dose of <nonce> to manage his condition.', 'The doctor informed his patient that an increase in the dosage of <nonce> was necessary to maintain a proper heart condition.']","Given the following examples: After surgery, the doctor prescribed <nonce> to reduce the risk of blood clots.
After his heart surgery, the doctor prescribed George a regular dose of <nonce> to manage his condition.
The doctor informed his patient that an increase in the dosage of <nonce> was necessary to maintain a proper heart condition., the word ""<nonce>"" is defined as",0.0,0.1176470588235294,0.48406484723091125
an anticoagulant drug that has now been largely replaced by warfarin,dicumarol,"""a substance that is used to kill germs."" The word ""antibiotic"" is defined as ""a substance that kills","['After surgery, the doctor prescribed <nonce> to reduce the risk of blood clots.', 'After his heart surgery, the doctor prescribed George a regular dose of <nonce> to manage his condition.', 'The doctor informed his patient that an increase in the dosage of <nonce> was necessary to maintain a proper heart condition.']","The word ""<nonce>"" is defined as",0.0,0.06896551724137931,0.4399400055408478
write (music) for (a text),set to music,"""to make (something) more intense, lively, or interesting.""
The word ""synchronize"" is defined as ""to make","['Her love story, full of passion and heartbreak, felt as if it was <nonce>, each chapter pulsing with a rhythm of its own.', 'Across the bustling town square, the vibrant festival of lights came alive, each twinkling pattern seemingly <nonce> in a mesmerizing symphony of color and sound.', 'Her wedding vows were so poetic and heartfelt that they seemed perfectly <nonce> in the hushed silence of the chapel.']","Given the following examples: Her love story, full of passion and heartbreak, felt as if it was <nonce>, each chapter pulsing with a rhythm of its own.
Across the bustling town square, the vibrant festival of lights came alive, each twinkling pattern seemingly <nonce> in a mesmerizing symphony of color and sound.
Her wedding vows were so poetic and heartfelt that they seemed perfectly <nonce> in the hushed silence of the chapel., the word ""<nonce>"" is defined as",0.0,0.0,0.4097774028778076
write (music) for (a text),set to music,"""to make a person or thing less effective or less successful.""
The word ""dilute"" is defined as ""to make something less strong","['Across the bustling town square, the vibrant festival of lights came alive, each twinkling pattern seemingly <nonce> in a mesmerizing symphony of color and sound.', 'Her emotions, raw and untamed, were like a wild dance <nonce> by the rhythm of her heartbeat.', 'Her life was a lyrical dance, every heartbeat and breath seamlessly <nonce>.']","The word ""<nonce>"" is defined as",0.0,0.07407407407407407,0.37416765093803406
annual European poppy common in grain fields and often cultivated,corn poppy,"""a plant of the genus Rubus, having prickly stems and usually red or black berries.""
The word ""sway""","['The field was a vivid splash of red, blanketed with a sea of <nonce> swaying gently in the summer breeze.', 'As the dawn broke, the field transformed into a sea of red as thousands of <nonce> opened their petals to the rising sun.', 'The vibrant red petals of the <nonce> swayed gently in the summer breeze, contrasting brilliantly against the golden wheat field.']","Given the following examples: The field was a vivid splash of red, blanketed with a sea of <nonce> swaying gently in the summer breeze.
As the dawn broke, the field transformed into a sea of red as thousands of <nonce> opened their petals to the rising sun.
The vibrant red petals of the <nonce> swayed gently in the summer breeze, contrasting brilliantly against the golden wheat field., the word ""<nonce>"" is defined as",0.0,0.07142857142857142,0.44928720593452454
annual European poppy common in grain fields and often cultivated,corn poppy,"""a small, hard, woody fruit with a single seed."" The word ""plum"" is defined as ""a small, round, ed","['As the dawn broke, the field transformed into a sea of red as thousands of <nonce> opened their petals to the rising sun.', 'The field was a vivid splash of red, blanketed with a sea of <nonce> swaying gently in the summer breeze.', 'Beneath the warm spring sun, a sea of vibrant red <nonce> swayed gently, painting the countryside with a breathtaking splash of color.']","The word ""<nonce>"" is defined as",0.0,0.0,0.41222503781318665
resembling glass,glass-like,"""lacking color or brightness; dull.""
The word ""glow"" is defined as ""to emit or reflect a soft light.""","['As the morning sun rose, it cast a shimmering, <nonce> glow across the tranquil surface of the lake.', 'Her eyes had a <nonce> clarity, reflecting the soft glow of the setting sun.', 'His eyes had a <nonce> sheen, reflecting the moonlight with an eerie glow.']","Given the following examples: As the morning sun rose, it cast a shimmering, <nonce> glow across the tranquil surface of the lake.
Her eyes had a <nonce> clarity, reflecting the soft glow of the setting sun.
His eyes had a <nonce> sheen, reflecting the moonlight with an eerie glow., the word ""<nonce>"" is defined as",0.0,0.0,0.37765592336654663
resembling glass,glass-like,"""to make or become hard or rigid.""
The word ""rigid"" is defined as ""not flexible or pliable.""
The","['As the morning sun rose, it cast a shimmering, <nonce> glow across the tranquil surface of the lake.', 'His eyes had a <nonce> sheen, reflecting the moonlight with an eerie glow.', 'Her eyes shimmered with a <nonce> clarity that reflected the morning sun.']","The word ""<nonce>"" is defined as",0.0,0.0,0.3200172185897827
a form to use when making an application,application form,"""a form that must be filled out and signed before a person can be admitted to a school, hospital, etc.""
The word ""application""","['After double-checking all her details and smoothing out the creases, Marianne dropped the completed <nonce> into the mailbox, her heart fluttering with a mix of anticipation and anxiety.', 'After meticulously filling out every section, Sara nervously submitted her college <nonce>, hoping her future was just a few keystrokes away.', ""As the deadline loomed ominously, Marcia hastily filled out the university's <nonce>, her heart pounding with a mix of fear and anticipation.""]","Given the following examples: After double-checking all her details and smoothing out the creases, Marianne dropped the completed <nonce> into the mailbox, her heart fluttering with a mix of anticipation and anxiety.
After meticulously filling out every section, Sara nervously submitted her college <nonce>, hoping her future was just a few keystrokes away.
As the deadline loomed ominously, Marcia hastily filled out the university's <nonce>, her heart pounding with a mix of fear and anticipation., the word ""<nonce>"" is defined as",0.0,0.25806451612903225,0.5848051905632019
a form to use when making an application,application form,"""a written agreement between a buyer and seller of real estate, in which the buyer agrees to purchase the property for a certain price","['After meticulously filling out every section, Sara nervously submitted her college <nonce>, hoping her future was just a few keystrokes away.', ""As the deadline loomed ominously, Marcia hastily filled out the university's <nonce>, her heart pounding with a mix of fear and anticipation."", 'After double-checking all her details and smoothing out the creases, Marianne dropped the completed <nonce> into the mailbox, her heart fluttering with a mix of anticipation and anxiety.']","The word ""<nonce>"" is defined as",0.0,0.125,0.5078177452087402
a knot used to fasten a rope temporarily to an object; usually tied double,half hitch,"""a knot used to secure a rope or line.""
The word ""quick"" is defined as ""done or happening without delay.""
","['The seasoned sailor effortlessly tied a <nonce>, securing the boat to the dock amidst the rising storm.', 'Expertly, the sailor tied a quick <nonce> to secure the rope to the dock post.', 'She secured the boat to the dock with a quick, practiced <nonce>.']","Given the following examples: The seasoned sailor effortlessly tied a <nonce>, securing the boat to the dock amidst the rising storm.
Expertly, the sailor tied a quick <nonce> to secure the rope to the dock post.
She secured the boat to the dock with a quick, practiced <nonce>., the word ""<nonce>"" is defined as",0.09941490945601678,0.3529411764705882,0.5868375897407532
a knot used to fasten a rope temporarily to an object; usually tied double,half hitch,"""a small, thin piece of wood, metal, or other material used to hold something in place.""
The word ""screw"" is","['After securing the canoe to the dock post, Emily skillfully tightened a <nonce> around the rope for added stability.', 'Expertly, the sailor tied a quick <nonce> to secure the rope to the dock post.', 'After securing the boat to the dock with a quick <nonce>, he stepped onto the pier, the smell of saltwater filling his nose.']","The word ""<nonce>"" is defined as",0.0,0.1764705882352941,0.5657946467399597
having more than one husband at a time,polyandry,"""the practice of polygamy, especially in Tibet and Nepal.
In the remote highlands of Tibet, traditional forms of pol","['In some remote parts of Nepal, <nonce> is a common practice, resulting in a family structure where siblings often share a singular wife.', 'Despite the societal norms of her tiny mountain village, Marisa practiced <nonce>, maintaining harmonious relationships with her three husbands.', 'In the remote highlands of Tibet, traditional forms of <nonce> still dictate familial structures and inheritance laws.']","Given the following examples: In some remote parts of Nepal, <nonce> is a common practice, resulting in a family structure where siblings often share a singular wife.
Despite the societal norms of her tiny mountain village, Marisa practiced <nonce>, maintaining harmonious relationships with her three husbands.
In the remote highlands of Tibet, traditional forms of <nonce> still dictate familial structures and inheritance laws., the word ""<nonce>"" is defined as",0.0,0.0,0.42317286133766174
having more than one husband at a time,polyandry,"""the act of making someone a slave."" The word ""slavery"" is defined as ""the state of being a slave.""
The word","['In the remote highlands of Tibet, traditional <nonce> still flourishes, with one woman often marrying several brothers to ensure familial harmony and economic stability.', 'In the matriarchal society of the Mosuo, a form of <nonce> is practiced, with women having multiple male partners without the constraints of traditional marriage.', 'Despite the societal norms of her tiny mountain village, Marisa practiced <nonce>, maintaining harmonious relationships with her three husbands.']","The word ""<nonce>"" is defined as",0.0,0.06896551724137931,0.37788814306259155
(American football) blocking a player's path with your body,interference,"""to cause to be in a state of confusion or uncertainty.""
The word ""dissuade"" is defined as ""to prevent or disc","['During the intense soccer match, the referee blew his whistle for an <nonce> call, pausing the game and leaving the crowd restless.', 'Despite the heavy <nonce> on the radio, Martha could just make out the weather announcement warning of the impending storm.', 'The detective had to tread carefully to avoid any <nonce> with the ongoing federal investigation.']","Given the following examples: During the intense soccer match, the referee blew his whistle for an <nonce> call, pausing the game and leaving the crowd restless.
Despite the heavy <nonce> on the radio, Martha could just make out the weather announcement warning of the impending storm.
The detective had to tread carefully to avoid any <nonce> with the ongoing federal investigation., the word ""<nonce>"" is defined as",0.0,0.06451612903225806,0.37628623843193054
(American football) blocking a player's path with your body,interference,"""a sudden, violent, and often uncontrollable attack of fear, dread, or apprehension.""
The word ""panic""","['During the televised soccer match, the sudden storm caused an <nonce> that disrupted the satellite signal, leaving thousands of viewers staring at a fuzzy screen.', 'Despite the heavy <nonce> on the radio, Martha could just make out the weather announcement warning of the impending storm.', 'Despite the relentless <nonce> of the chattering crows, the owls managed to hunt undeterred under the silvery moonlight.']","The word ""<nonce>"" is defined as",0.0,0.08,0.41265514492988586
the time period between dawn and noon,morning,"""the light of the sun at dawn or dusk.""
The word ""dawn"" is defined as ""the first light of day.""
The","['As the first blush of <nonce> kissed the sky, a chorus of birdsong erupted, serenading the dawn with joyous melody.', 'Golden sunlight streamed through the window, heralding the symphony of <nonce>, as birds began their melodious greeting to the day.', 'As sunlight began to paint the sky with hues of rose and gold, the chill of the <nonce> gently kissed my face, rousing me from slumber.']","Given the following examples: As the first blush of <nonce> kissed the sky, a chorus of birdsong erupted, serenading the dawn with joyous melody.
Golden sunlight streamed through the window, heralding the symphony of <nonce>, as birds began their melodious greeting to the day.
As sunlight began to paint the sky with hues of rose and gold, the chill of the <nonce> gently kissed my face, rousing me from slumber., the word ""<nonce>"" is defined as",0.0,0.14285714285714285,0.46502575278282166
the time period between dawn and noon,morning,"""a person who is a source of annoyance or irritation.""
The word ""annoyance"" is defined as ""a feeling","['As the first glimmers of soft light permeated the room, the <nonce> serenely embraced the world, whispering promises of new beginnings through the chirping birds and dew-kissed leaves.', 'As sunlight began to paint the sky with hues of rose and gold, the chill of the <nonce> gently kissed my face, rousing me from slumber.', 'As the first blush of <nonce> kissed the sky, a chorus of birdsong erupted, serenading the dawn with joyous melody.']","The word ""<nonce>"" is defined as",0.0,0.08,0.3702594041824341
braised chicken with onions and mushrooms in a wine and tomato sauce,chicken Marengo,"""a thick stew of meat, vegetables, and tomatoes.""
The word ""stew"" is defined as ""a thick soup or","['Even as the storm raged outside, the cozy warmth of the kitchen was filled with the mouthwatering aroma of <nonce> simmering on the stovetop.', 'As Napoleon reveled in his victory at the Battle of Marengo, his personal chef hastily prepared the now-famous <nonce> to celebrate their triumph.', 'Savoring the last bite of <nonce>, Julia appreciated the perfect blend of tomatoes, olives and white wine in the dish.']","Given the following examples: Even as the storm raged outside, the cozy warmth of the kitchen was filled with the mouthwatering aroma of <nonce> simmering on the stovetop.
As Napoleon reveled in his victory at the Battle of Marengo, his personal chef hastily prepared the now-famous <nonce> to celebrate their triumph.
Savoring the last bite of <nonce>, Julia appreciated the perfect blend of tomatoes, olives and white wine in the dish., the word ""<nonce>"" is defined as",0.0,0.13333333333333333,0.5279245972633362
braised chicken with onions and mushrooms in a wine and tomato sauce,chicken Marengo,"""a small, round, hard, dry fruit, usually red or yellow, containing a single seed.""
The word ""chestnut"" is","['As Napoleon reveled in his victory at the Battle of Marengo, his personal chef hastily prepared the now-famous <nonce> to celebrate their triumph.', 'Even as the storm raged outside, the cozy warmth of the kitchen was filled with the mouthwatering aroma of <nonce> simmering on the stovetop.', 'Savoring the last bite of <nonce>, Julia appreciated the perfect blend of tomatoes, olives and white wine in the dish.']","The word ""<nonce>"" is defined as",0.0,0.06666666666666667,0.47416815161705017
a sudden desire,caprice,"""a feeling of uneasiness or apprehension.""
The word ""sudden"" is defined as ""occurring or appearing without","['In the quiet solitude of her grand library, she often found herself lost in the whimsical <nonce> of the many stories she read, each one transporting her to a different realm.', 'The sudden <nonce> of the weather dashed our hopes of a sunny picnic by the lake.', 'Her decision to suddenly move to Paris seemed to be driven more by <nonce> than by careful planning or logic.']","Given the following examples: In the quiet solitude of her grand library, she often found herself lost in the whimsical <nonce> of the many stories she read, each one transporting her to a different realm.
The sudden <nonce> of the weather dashed our hopes of a sunny picnic by the lake.
Her decision to suddenly move to Paris seemed to be driven more by <nonce> than by careful planning or logic., the word ""<nonce>"" is defined as",0.0,0.21052631578947367,0.4595802128314972
a sudden desire,caprice,"""the act of making someone believe something that is not true.""
The word ""deception"" is defined as ""the act of deceiving someone","['The unpredictability of his <nonce> made him both intriguing and frustrating to understand.', 'The sudden <nonce> of the weather dashed our hopes of a sunny picnic by the lake.', 'In the quiet solitude of her grand library, she often found herself lost in the whimsical <nonce> of the many stories she read, each one transporting her to a different realm.']","The word ""<nonce>"" is defined as",0.0,0.0,0.33126354217529297
in a civil manner,civilly,"""without any help or assistance from others.""
The word ""heated"" is defined as ""very hot.""
The word ""disagre","['Despite their heated disagreement over the business contract, both parties committed to resolving the issue <nonce> in court.', 'Despite their intense disagreement over the business strategy, they managed to discuss their differing viewpoints <nonce>.', 'Despite their heated disagreement over politics, the two friends managed to discuss their differing opinions <nonce> over cups of coffee.']","Given the following examples: Despite their heated disagreement over the business contract, both parties committed to resolving the issue <nonce> in court.
Despite their intense disagreement over the business strategy, they managed to discuss their differing viewpoints <nonce>.
Despite their heated disagreement over politics, the two friends managed to discuss their differing opinions <nonce> over cups of coffee., the word ""<nonce>"" is defined as",0.0,0.0,0.37112000584602356
in a civil manner,civilly,"""without the use of a machine or tool.""
The word ""manually"" is defined as ""by hand.""
The word ""automatically","['Despite their heated disagreement over politics, the two friends managed to discuss their differing opinions <nonce> over cups of coffee.', ""Although they disagreed on almost every issue, the two politicians always conducted their debates <nonce>, maintaining a respect for each other's viewpoints."", 'Despite their heated disagreement over the business contract, both parties committed to resolving the issue <nonce> in court.']","The word ""<nonce>"" is defined as",0.0,0.08695652173913043,0.39227786660194397
one who habitually ignores the law and does not answer court summonses,scofflaw,"""a person who habitually avoids or evades payment of debts or fulfillment of obligations.""
The word ""notorious""","['Despite his veneer of respectability, the businessman was nothing more than a <nonce>, constantly flouting rules and regulations to suit his own needs.', 'Despite his wealthy upbringing and prestigious education, he was known around town as a notorious <nonce>, always disregarding parking restrictions and ignoring fines.', 'Despite his charm and affability, Gerald was a notorious <nonce>, perpetually thumbing his nose at parking regulations in the city.']","Given the following examples: Despite his veneer of respectability, the businessman was nothing more than a <nonce>, constantly flouting rules and regulations to suit his own needs.
Despite his wealthy upbringing and prestigious education, he was known around town as a notorious <nonce>, always disregarding parking restrictions and ignoring fines.
Despite his charm and affability, Gerald was a notorious <nonce>, perpetually thumbing his nose at parking regulations in the city., the word ""<nonce>"" is defined as",0.0,0.20689655172413793,0.617585301399231
one who habitually ignores the law and does not answer court summonses,scofflaw,"""a person who is not a member of a particular group or class.""
The word ""racist"" is defined as ""a person who bel","['Despite his veneer of respectability, the businessman was nothing more than a <nonce>, constantly flouting rules and regulations to suit his own needs.', 'Despite his charm, the town knew Henry as a notorious <nonce>, always seen with a smirk and an unpaid parking ticket.', 'Despite his charm and affability, Gerald was a notorious <nonce>, perpetually thumbing his nose at parking regulations in the city.']","The word ""<nonce>"" is defined as",0.0,0.11428571428571427,0.42681941390037537
