definition,word,generated examples,examples,example gen prompt,self play generated definition,original generated definition,prompt
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"['The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given']","[""During his reign, <nonce> introduced many progressive reforms in Ethiopia, truly embodying his title as the 'Lion of Judah'."", 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given']","Given the following examples: During his reign, <nonce> introduced many progressive reforms in Ethiopia, truly embodying his title as the 'Lion of Judah'., another example sentence for the word ""<nonce>"" is:","""the Messiah"" in the Hebrew Bible.
The Lion of Judah is a title given to Jesus Christ in the Book of Revel","""the Lion of Judah"" in the Book of Revelation.
The Lion of Judah is a title given to Jesus Christ in the","Given the following examples: During his reign, <nonce> introduced many progressive reforms in Ethiopia, truly embodying his title as the 'Lion of Judah'.
The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.
The Lion of Judah is a title given
The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.
The Lion of Judah is a title given
The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.
The Lion of Judah is a title given
The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.
The Lion of Judah is a title given, the word ""<nonce>"" is defined as"
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"['The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given']","[""During his reign, <nonce> introduced many progressive reforms in Ethiopia, truly embodying his title as the 'Lion of Judah'."", 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given', 'The Lion of Judah is a title given to Jesus Christ in the Book of Revelation.\nThe Lion of Judah is a title given']","Given the following examples: During his reign, <nonce> introduced many progressive reforms in Ethiopia, truly embodying his title as the 'Lion of Judah'., another example sentence for the word ""<nonce>"" is:","""to be in agreement with."" The word ""testimony"" is defined as ""a statement or declaration made by a witness."" Therefore, the","""to be strong"" or ""to be mighty."" The word ""shalom"" is defined as ""peace.""
The word ""shalom","The word ""<nonce>"" is defined as"
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"['The  was a  who had a  for the  of the  .\nThe  was a  who had a  for the  of', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ']","['Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies.', 'The  was a  who had a  for the  of the  .\nThe  was a  who had a  for the  of', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ']","Given the following examples: Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies., another example sentence for the word ""<nonce>"" is:","""a person who is trusted with a secret or a position of authority.""
The  was a  who had a  for the truth.","""a person who is in charge of a business or organization.""
The , the word ""truth"" is defined as ""the quality or state","Given the following examples: Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies.
The  was a  who had a  for the  of the  .
The  was a  who had a  for the  of
The  was a  who had a  for the truth.
The  was a  who had a  for the truth.
The 
The  was a  who had a  for the truth.
The  was a  who had a  for the truth.
The 
The  was a  who had a  for the truth.
The  was a  who had a  for the truth.
The , the word ""<nonce>"" is defined as"
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"['The  was a  who had a  for the  of the  .\nThe  was a  who had a  for the  of', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ']","['Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies.', 'The  was a  who had a  for the  of the  .\nThe  was a  who had a  for the  of', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ', 'The  was a  who had a  for the truth.\nThe  was a  who had a  for the truth.\nThe ']","Given the following examples: Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies., another example sentence for the word ""<nonce>"" is:","""a person who is not a Jew or a Christian."" The word ""Jew"" is defined as ""a person who is a descendant of","""a person who is in charge of a ship or a group of ships.""
The word ""captain"" is defined as ""a person who","The word ""<nonce>"" is defined as"
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"['The party was a success, and everyone had a good time.\nThe word ""Shamrock"" in example sentences\nThe word ""Sham', 'The laughter of the children echoed through the hall.\nThe word ""echo"" is a noun.\nThe word ""echo"" is', 'The laughter of the children echoed through the hall.\nThe word ""echo"" is a noun.\nThe word ""echo"" is', 'The laughter of the children echoed through the hall.\nThe word ""echo"" in example sentences\nThe echo of the laughter reverber']","[""<nonce>'s laughter echoed throughout the grand hall, a lively melody against the soft hum of the party."", 'The party was a success, and everyone had a good time.\nThe word ""Shamrock"" in example sentences\nThe word ""Sham', 'The laughter of the children echoed through the hall.\nThe word ""echo"" is a noun.\nThe word ""echo"" is', 'The laughter of the children echoed through the hall.\nThe word ""echo"" is a noun.\nThe word ""echo"" is', 'The laughter of the children echoed through the hall.\nThe word ""echo"" in example sentences\nThe echo of the laughter reverber']","Given the following examples: <nonce>'s laughter echoed throughout the grand hall, a lively melody against the soft hum of the party., another example sentence for the word ""<nonce>"" is:","a person who is a descendant of the Irish hero Cuchulainn.
The echo of the laughter reverber, the word ""","a female given name.
The echo of the laughter reverber, the word ""Shamrock"" is defined as a three-leaved","Given the following examples: <nonce>'s laughter echoed throughout the grand hall, a lively melody against the soft hum of the party.
The party was a success, and everyone had a good time.
The word ""Shamrock"" in example sentences
The word ""Sham
The laughter of the children echoed through the hall.
The word ""echo"" is a noun.
The word ""echo"" is
The laughter of the children echoed through the hall.
The word ""echo"" is a noun.
The word ""echo"" is
The laughter of the children echoed through the hall.
The word ""echo"" in example sentences
The echo of the laughter reverber, the word ""<nonce>"" is defined as"
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"['The party was a success, and everyone had a good time.\nThe word ""Shamrock"" in example sentences\nThe word ""Sham', 'The laughter of the children echoed through the hall.\nThe word ""echo"" is a noun.\nThe word ""echo"" is', 'The laughter of the children echoed through the hall.\nThe word ""echo"" is a noun.\nThe word ""echo"" is', 'The laughter of the children echoed through the hall.\nThe word ""echo"" in example sentences\nThe echo of the laughter reverber']","[""<nonce>'s laughter echoed throughout the grand hall, a lively melody against the soft hum of the party."", 'The party was a success, and everyone had a good time.\nThe word ""Shamrock"" in example sentences\nThe word ""Sham', 'The laughter of the children echoed through the hall.\nThe word ""echo"" is a noun.\nThe word ""echo"" is', 'The laughter of the children echoed through the hall.\nThe word ""echo"" is a noun.\nThe word ""echo"" is', 'The laughter of the children echoed through the hall.\nThe word ""echo"" in example sentences\nThe echo of the laughter reverber']","Given the following examples: <nonce>'s laughter echoed throughout the grand hall, a lively melody against the soft hum of the party., another example sentence for the word ""<nonce>"" is:","""a person who is not a Jew."" The word ""goy"" is defined as ""a non-Jew.""
The word ""J","""a person who is not a Jew or a Christian."" The word ""Jew"" is defined as ""a person who is a descendant of","The word ""<nonce>"" is defined as"
a large variety of conch,giant conch,"['The 19th century saw the development of the modern flute, which was made of metal and had a cylindrical bore.\nThe', 'The 19th century composer, Franz Schubert, wrote a song called ""The Wanderer"" which is a beautiful melody that', 'The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter', 'The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter']","['A mysterious melody resonated through the air as he blew gently into the spiral of the <nonce>, which he had found washed up on the desolate shore.', 'The 19th century saw the development of the modern flute, which was made of metal and had a cylindrical bore.\nThe', 'The 19th century composer, Franz Schubert, wrote a song called ""The Wanderer"" which is a beautiful melody that', 'The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter', 'The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter']","Given the following examples: A mysterious melody resonated through the air as he blew gently into the spiral of the <nonce>, which he had found washed up on the desolate shore., another example sentence for the word ""<nonce>"" is:","a musical instrument that is made of wood and has a cylindrical bore.
The 19th century composer, Franz Schubert,","a musical instrument that is made of wood and has a cylindrical bore.
The 19th century composer, Franz Schubert,","Given the following examples: A mysterious melody resonated through the air as he blew gently into the spiral of the <nonce>, which he had found washed up on the desolate shore.
The 19th century saw the development of the modern flute, which was made of metal and had a cylindrical bore.
The
The 19th century composer, Franz Schubert, wrote a song called ""The Wanderer"" which is a beautiful melody that
The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter
The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter, the word ""<nonce>"" is defined as"
a large variety of conch,giant conch,"['The 19th century saw the development of the modern flute, which was made of metal and had a cylindrical bore.\nThe', 'The 19th century composer, Franz Schubert, wrote a song called ""The Wanderer"" which is a beautiful melody that', 'The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter', 'The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter']","['A mysterious melody resonated through the air as he blew gently into the spiral of the <nonce>, which he had found washed up on the desolate shore.', 'The 19th century saw the development of the modern flute, which was made of metal and had a cylindrical bore.\nThe', 'The 19th century composer, Franz Schubert, wrote a song called ""The Wanderer"" which is a beautiful melody that', 'The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter', 'The 19th century composer, Franz Schubert, wrote a beautiful melody for the 12th variation of his ""Winter']","Given the following examples: A mysterious melody resonated through the air as he blew gently into the spiral of the <nonce>, which he had found washed up on the desolate shore., another example sentence for the word ""<nonce>"" is:","""a person who is a great expert in a particular field.""
The word ""expert"" is defined as ""a person who has a special","""a small, usually wooden, stick used for writing or drawing."" The word ""pen"" is defined as ""a writing instrument consisting of a metal","The word ""<nonce>"" is defined as"
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"['The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum', 'The iguana is a large, green, scaly lizard that is often mistaken for a iguana.\nThe iguana is', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum']","['The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth.', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum', 'The iguana is a large, green, scaly lizard that is often mistaken for a iguana.\nThe iguana is', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum']","Given the following examples: The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth., another example sentence for the word ""<nonce>"" is:","""a large, green, scaly lizard that is often mistaken for a iguana.""
The naturalist spent hours in the dense forest","a large, green, scaly lizard that is often mistaken for a iguana.
The naturalist spent hours in the dense forest,","Given the following examples: The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth.
The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum
The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum
The iguana is a large, green, scaly lizard that is often mistaken for a iguana.
The iguana is
The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum, the word ""<nonce>"" is defined as"
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"['The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum', 'The iguana is a large, green, scaly lizard that is often mistaken for a iguana.\nThe iguana is', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum']","['The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth.', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum', 'The iguana is a large, green, scaly lizard that is often mistaken for a iguana.\nThe iguana is', 'The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the iguana thriving in its hum']","Given the following examples: The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth., another example sentence for the word ""<nonce>"" is:","""a person who is morally reprehensible or unpleasant.""
The word ""morally"" is defined as ""in accordance with","""a person who is a source of annoyance or trouble.""
The word ""annoyance"" is defined as ""a feeling of ir","The word ""<nonce>"" is defined as"
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"['The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.\nThe 1', 'The 19th century poet, John Keats, wrote a famous poem about the 1814 eruption of Mount Tambora', 'The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.\nThe 1', 'The 19th century poet, John Keats, wrote the famous line, ""A thing of beauty is a joy forever."".\nThe']","[""Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season."", 'The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.\nThe 1', 'The 19th century poet, John Keats, wrote a famous poem about the 1814 eruption of Mount Tambora', 'The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.\nThe 1', 'The 19th century poet, John Keats, wrote the famous line, ""A thing of beauty is a joy forever."".\nThe']","Given the following examples: Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season., another example sentence for the word ""<nonce>"" is:","a ""flower"" in the dictionary.
The, the word ""flower"" is defined as a ""flower"" in the dictionary.","a ""flower of the genus Hibiscus, having large, showy, trumpet-shaped flowers.""
The, the","Given the following examples: Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season.
The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.
The 1
The 19th century poet, John Keats, wrote a famous poem about the 1814 eruption of Mount Tambora
The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.
The 1
The 19th century poet, John Keats, wrote the famous line, ""A thing of beauty is a joy forever."".
The, the word ""<nonce>"" is defined as"
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"['The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.\nThe 1', 'The 19th century poet, John Keats, wrote a famous poem about the 1814 eruption of Mount Tambora', 'The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.\nThe 1', 'The 19th century poet, John Keats, wrote the famous line, ""A thing of beauty is a joy forever."".\nThe']","[""Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season."", 'The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.\nThe 1', 'The 19th century poet, John Keats, wrote a famous poem about the 1814 eruption of Mount Tambora', 'The 19th century poet, John Keats, wrote a famous sonnet about the  beauty of the  flower.\nThe 1', 'The 19th century poet, John Keats, wrote the famous line, ""A thing of beauty is a joy forever."".\nThe']","Given the following examples: Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season., another example sentence for the word ""<nonce>"" is:","""a person who is a prophet or seer."" The word ""prophet"" is defined as ""a person who foretells the","""a decorative branch of a tree, especially a pine tree, hung as a Christmas ornament.""
The word ""Christmas"" is","The word ""<nonce>"" is defined as"
a cut of beef from the neck of the animal,beef neck,"['The hearty aroma of the slow-cooked  beef stew wafted through the rustic farmhouse kitchen, tantal', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked']","[""The hearty aroma of the slow-cooked <nonce> wafted through the rustic farmhouse kitchen, tantalizing everyone's taste buds."", 'The hearty aroma of the slow-cooked  beef stew wafted through the rustic farmhouse kitchen, tantal', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked']","Given the following examples: The hearty aroma of the slow-cooked <nonce> wafted through the rustic farmhouse kitchen, tantalizing everyone's taste buds., another example sentence for the word ""<nonce>"" is:","""a thick stew of meat and vegetables, typically served with potatoes and accompanied by bread.""
The hearty aroma of the","""a thick stew of meat and vegetables, typically served with pasta.""
The hearty aroma of the slow-cooked","Given the following examples: The hearty aroma of the slow-cooked <nonce> wafted through the rustic farmhouse kitchen, tantalizing everyone's taste buds.
The hearty aroma of the slow-cooked  beef stew wafted through the rustic farmhouse kitchen, tantal
The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked
The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked
The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked, the word ""<nonce>"" is defined as"
a cut of beef from the neck of the animal,beef neck,"['The hearty aroma of the slow-cooked  beef stew wafted through the rustic farmhouse kitchen, tantal', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked']","[""The hearty aroma of the slow-cooked <nonce> wafted through the rustic farmhouse kitchen, tantalizing everyone's taste buds."", 'The hearty aroma of the slow-cooked  beef stew wafted through the rustic farmhouse kitchen, tantal', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked', 'The hearty aroma of the slow-cooked  Slow-cooked  Slow-cooked  Slow-cooked']","Given the following examples: The hearty aroma of the slow-cooked <nonce> wafted through the rustic farmhouse kitchen, tantalizing everyone's taste buds., another example sentence for the word ""<nonce>"" is:","""to make a loud, harsh, or grating sound.""
The word ""grating"" is defined as ""causing irritation","""a dish of meat, fish, or vegetables cooked in a sauce of wine, vinegar, and spices."" The","The word ""<nonce>"" is defined as"
